subj,group,logmIKI
1,1,5.7315539772727275
2,1,6.185189375
3,1,5.1872823529411765
4,1,5.7545269662921354
5,1,6.076680666666667
6,1,5.695565714285714
7,1,5.483963095238095
8,1,5.414568639053254
9,1,5.943408187134503
10,1,5.903913999999999
11,1,6.137492352941177
12,1,5.670158659217877
13,1,5.575645454545454
14,1,5.783072832369942
15,1,5.356187283236994
16,1,5.271639644970414
18,1,6.13481875
19,1,5.156841379310345
20,1,5.255616763005781
21,1,5.549682183908046
22,1,5.4185739130434785
23,1,5.883528481012658
24,1,5.787117241379311
25,1,5.287614838709677
26,1,6.312092307692308
27,1,6.053820786516853
28,1,5.385468604651163
29,1,5.945815671641791
30,1,5.690587356321839
31,1,5.56448908045977
32,1,5.707667428571429
33,1,5.76877619047619
34,1,5.804250898203593
35,1,5.719637714285715
36,1,5.254379738562092
37,1,5.61426783625731
38,0,5.822550657894737
39,0,6.093605084745763
40,0,6.024815697674418
41,0,6.503415151515151
42,0,6.121661797752809
43,0,5.993859523809523
44,0,6.164358823529412
45,0,6.061429559748428
46,0,6.137763580246913
47,0,5.931962711864407
48,0,6.2393368421052635
49,0,6.00066091954023
50,0,5.829779881656805
51,0,5.88433216374269
52,0,5.943590625000001
53,0,5.830237748344371
54,0,5.7958125748502995
55,0,5.940558598726114
56,0,5.903441860465117
57,0,6.534968823529412
58,0,5.957678651685393
59,0,5.602483146067415
60,0,5.9927126050420165
61,0,6.3917668604651166
62,0,6.240117361111111
63,0,5.365971348314607
64,0,6.582910240963855
65,0,5.736794573643411
66,0,5.832255681818182
67,0,6.450953892215568
68,0,5.967083116883117
69,0,5.9086203592814375
70,0,6.375205095541401
71,0,6.128484916201118
72,0,6.009276331360947
73,0,5.92024748603352
74,2,6.243565986394558
75,2,6.284483739837398
76,2,6.238339285714285
77,2,5.978656603773585
78,2,6.473366225165563
79,2,6.134554597701149
80,2,6.269575757575757
81,2,6.283093820224718
82,2,6.103931137724551
83,2,5.876900657894737
84,2,6.526056687898088
85,2,6.040932934131736
86,2,6.15909190751445
87,2,6.177952892561983
88,2,6.399864161849711
89,2,6.310674025974026
90,2,6.3828499999999995
91,2,6.273969318181818
92,2,6.747739473684211
93,2,6.076609036144578
